afrika	afɾika
afrikako	afɾikako
alemania	alemania
alemaniako	alemaniako
amerikako	ameɾikako
ameriketako	ameɾiketako
asiako	as̺iako
batasuneko	batas̺uneko
batuak	batuak
batuek	batuek
batuetako	batuetako
bizkaiko	bis̻kaiko
britainia	bɾitainia
eguzkia	eɡus̻kia
eguzkiaren	eɡus̻kiaɾen
errusiako	erus̺iako
espainia	es̺painia
espainiako	es̺painiako
europa	euɾopa
europako	euɾopako
europan	euɾopan
frantzia	fɾants̻ia
frantziako	fɾants̻iako
ginea	ɡinea
gipuzkoako	ɡipus̻koako
hego	eɡo
indiako	indiako
itsaso	its̺as̺o
jose	jos̺e
juan	juan
luis	luis̺
maria	maɾia
nafarroa	nafaroa
nafarroako	nafaroako
nobel	nobel
ozeano	os̻eano
santa	s̺anta
sobietar	s̺obietaɾ
txina	tʃina
txinako	tʃinako
